disease,symptoms
elderly respiratory failure,"dyspnea, cough, elderly, stupor, convulsions"
orbital non-hodgkin's malignant lymphoma,"visual impairment, exophthalmos, loss of appetite, weight loss, night sweats"
pediatric wheezy bronchitis,"high fever, wheezing, child, stridor, shoulder-shrugging wheezing"
human monocytic ehrlichiosis (hme),"lymphadenopathy, fever, hepatosplenomegaly, pruritus, rash, shortness of breath, joint pain"
recurrent inguinal hernia,"abdominal distension, frequent urination, slight burning sensation at the groin, nausea, visible bulge in the groin area"
primary thrombocythemia in the elderly,"epistaxis, gastrointestinal bleeding, gingival bleeding, purpura, elderly, bone pain, night sweats, weakness"
peritonsillar abscess,"difficulty swallowing, drooling, fever, sore throat"
respiratory bronchiolitis-associated interstitial lung disease,"dyspnea, chest pain, clubbing of fingers, malaise"
polythelia and polymastia,"axillary mass, subcutaneous fat roughness, increased sensitivity in the area, mild discomfort upon touch, visible skin texture change"
corrected transposition of the great arteries (ctga),"shortness of breath, decreased activity level, cyanosis, hypoxia, irregular heartbeat, chest pain, fainting"
ovarian tumors,"precocious puberty, acne, mood swings, growth spurts"
abscess,"fever, fatigue, erythema, pain, nausea, sweating, chills"
constipation,"dry stools, constipation, fatigue, headache, back pain"
parosteal osteosarcoma,"presenting only as a lump, mild discomfort on palpation, slight restriction of joint movement near the tumor, occasional night pains"
adenoid cystic carcinoma,"painless salivary gland mass, headache, facial paralysis, weight loss"
sigmoid mesocolic hernia,"recuurent episodes of pain in the lower left abdomen, nausea, vomiting, mass in the lower left abdomen, dehydration, weight loss, anxiety due to symptoms"
anterior crossbite,"bruxism, mandibular prognathism, difficulty biting properly, child, tooth sensitivity to hot or cold, gingivitis, crowded teeth, chronic jaw pain"
benign cephalic histiocytosis,"tissue hyperplasia, child, mild pruritus, skin xerosis, localized erythema"
bile reflux gastritis,"abdominal distension, vomiting, heartburn, weight loss"
post-stroke sequelae,"dysphagia, crossed paralysis, headache, dizziness, speech disorders"
recurrent facial dermatitis,"dermatitis, pruritus, cracked skin, bleeding after scratching, increased sensitivity to temperature"
autosomal dominant cerebellar ataxia in children,"nystagmus, child, slurred speech, difficulty in walking, tremors"
autonomic dysregulation,"anxiety, irritability, excessive sweating, palpitations, shortness of breath"
folliculitis,"pustules, nodules, ulcers, follicular keratosis plugs, corticosteroid dependence, pruritus, upper body heat-induced hyperhidrosis"
snapping scapula syndrome,"sensation of snapping, clicking sound with movement, slight swelling around the scapula, muscle weakness"
desmoplastic fibroma,"protrusion of bone surfaces, bone pain, muscle weakness, tenderness at the site"
long qt syndrome,"conduction block, atrioventricular block, sudden death, arrhythmia, seizures, nocturnal agitation"
lymphoma-induced renal damage,"hypertension, fatigue, abnormal urinalysis, venous thrombosis"
pulmonary cryptococcosis,"dry cough, weight loss, fever, enlarged lymph nodes"
gastrointestinal foreign body,"abdominal pain, dehydration, lethargy, loss of appetite"
acrodermatitis enteropathica in children,"papules, child, alopecia, glossitis, oral ulcers"
osteoma,"dizziness, headache, ringing in the ears, neck stiffness, blurred vision"
caseous rhinitis,"nasal congestion, purulent and foul-smelling nasal discharge, anosmia, nosebleeds, dizziness, headache, loss of appetite"
postpartum tetany,"neck and back rigidity, clenched teeth, female, irritability, difficulty sleeping"
renal disease-associated mental disorders,"dementia, depression, poverty of thought, fatigue"
purulent perichondritis of the auricle,"redness and swelling of the auricle, difficulty sleeping on the affected side, fever, headache"
vaccination complications,"vesicles, eczema, sore throat, runny nose, fatigue"
meningioma,"fatigue, local burning sensation, seizures, hearing loss"
nasopharyngeal carcinoma with ocular manifestations,"nasal congestion, headache, hearing loss, neck lump"
pericardial thymoma,"distended jugular veins, myasthenia gravis, abnormal heart sounds, tachycardia"
fallopian tube tuberculosis,"low fever, night sweats, female, pelvic discomfort, weight loss"
steroid-dependent dermatitis,"itching, pain, sensitivity, redness"
gonococcal urethritis,"itching in the urethra, urinary urgency, mild pain, general weakness"
congenital heart disease,"exercise-induced dyspnea, cyanosis, child, clubbing of fingers, poor feeding, frequent respiratory infections"
urinary irritation syndrome,"frequent urination, nocturia, lower abdominal discomfort, mild fever"
posterior interosseous nerve syndrome,"local swelling, muscle nodules, reduced range of motion in the elbow, slight discoloration of the skin over the affected area, pain when trying to straighten the wrist"
fallopian tube obstruction,"back pain, infertility, menstrual irregularities, pelvic pain after exercise"
urethral polyp,"bleeding, urinary incontinence, nocturia, urgency"
dental fracture,"tooth dislocation, pain, gum recession near the affected tooth, visible cracks in the tooth"
callus,"thickening of the stratum corneum, decreased local sweat secretion, dulled sensation"
pediatric biliary ascariasis,"abdominal pain, vomiting, sudden right upper quadrant colic, persistent severe pain in the right upper quadrant radiating to the right shoulder, child, pale complexion, tense abdominal muscles, restlessness, crying in children"
adult female breast hypertrophy,"excessive enlargement of the breasts, neck and back pain, varicose veins, shortness of breath"
micropapillary thyroid cancer,"thyroid nodules, hoarseness, difficulty swallowing, throat pain"
spinocerebellar ataxia,"dementia, ataxia, nystagmus, hyperreflexia"
ulnar collateral ligament injury of the thumb metacarpophalangeal joint,"limited finger movement, history of finger trauma, increased pain with thumb extension, tenderness along the ulnar side, instability of the thumb joint"
persistent occiput posterior position,"slow cervical dilation, mild to moderate pain above the pubic bone, decreasing frequency of contractions, increased anxiety or frustration"
congenital esophageal atresia,"esophageal atresia, choking, newborn, neonatal tachypnea, coughing"
umbilical hernia,"swelling at the base of the umbilicus, presence of the umbilical cord at the center of the swelling, skin discoloration around the navel, increased abdominal swelling when crying, child, decreased appetite, difficulty sleeping due to discomfort, slight temperature elevation"
pulmonary histiocytosis x,"dyspnea, fever, pathological fractures, clubbing"
vulvar erysipelas,"skin redness, swelling with heat sensation, fever, headache"
malabsorption syndrome,"malabsorption, wasting, anemia, fatigue"
wedge-shaped defect,"oval-shaped defects on teeth, sensitivity to cold, discomfort while chewing, mild tooth pain"
esophageal diverticulum,"dysphagia, regurgitation of food, increased salivation, nausea"
finger replantation,"injury bleeding, pain, hemorrhagic shock, loss of consciousness, increased thirst, faintness, cold pale skin"
sedative hypnotic poisoning,"weak pulse, deep coma, cold extremities, irregular breathing"
temporal arteritis,"fever, weight loss, anemia, malaise"
chronic automatic atrial tachycardia,"palpitations, chest discomfort, vomiting, arrhythmia"
cerebral hemorrhage,"motor disorders, speech disorders, confusion, difficulty swallowing, weakness in one part of the body"
urethral agenesis and congenital urethral atresia,"difficulty urinating, urinary extravasation, newborn, abdominal pain, vomiting, lethargy"
neonatal gastric perforation,"respiratory distress, feeding refusal, newborn, cyanosis, skin mottling"
laryngeal hemangioma,"hoarseness, minor hemoptysis, difficulty breathing, coughing up frothy blood, voice box pain, feeling of tightness in throat, fatigue"
congenital anterior urethral valve,"difficulty in urination, urinary retention, newborn/infant, failure to thrive, vomiting, lethargy"
pediatric autoimmune lymphoproliferative syndrome (alps),"splenomegaly, hemolytic anemia, lymphadenopathy, thrombocytopenia, child, jaundice, fatigue, night sweats"
erythema multiforme,"ulcers, oral pain, fever, edema"
arteriosclerosis obliterans,"intermittent claudication, decreased skin temperature of the affected limb, mild numbness, easy fatigue after activity, muscle atrophy, pain after walking short distances, coolness of the affected limb"
pediatric horner syndrome,"ptosis, child, pupil asymmetry, mild tearing, slight one-sided facial sweating"
pediatric brain tumors,"headache, child, fatigue, loss of balance, mood swings"
anal foreign body sensation,"presence of foreign body in the anal region, rectal discharge, foul-smelling odor, constipation"
cervical spinal cord injury,"neck pain, spinal nerve root damage, radiating pain in arms, numbness or tingling in extremities, muscle weakness"
respiratory alkalosis,"fever, dizziness, muscle tremors, numbness in face"
enuresis,"frequent daytime urination, child, feeling of incomplete bladder emptying, delayed urination start, straining to urinate"
pediatric pulmonary alveolar proteinosis,"difficulty breathing, coughing, cyanosis, chest pain, child, hemoptysis, fever, clubbing of fingers"
erysipelothrix rhusiopathiae infection,"erysipelas, papules, muscle aches, vomiting, sore throat"
orbital dermoid cyst,"proptosis, child, mild pain, swelling near the eye, discoloration of the overlying skin"
hyperparathyroidism-related cardiomyopathy,"osteoporosis, joint pain, hypercalcemia, vomiting"
cogan's syndrome,"eye pain, photosensitivity, fever, nausea and vomiting"
orthostatic hypotension,"dizziness, nausea, weakness, headache"
transverse colon volvulus,"abdominal distension, constipation, abdominal pain, nausea"
tibial nerve injury,"plantar flexion of the toes, sensory disturbances on the sole of the foot, difficulty in eversion, adduction"
chest wall soft tissue deformity,"abnormal thorax, back pain, decreased exercise tolerance, difficulty lying flat"
cushing's syndrome,"central obesity, pathological euphoria, hyperandrogenism, acne-like rash"
kidney stones,"difficulty urinating, hematuria, chills, frequent urination"
posterior spinal artery syndrome,"gradually enlarging soft lump in the lumbar region, sensory disturbances, localized back pain, reduced reflexes in lower limbs"
mucopolysaccharidosis type iv (morquio syndrome),"spinal deformities, joint swelling, child, heart valve abnormalities, mild intellectual disability, vision problems"
pediatric mucopolysaccharidosis,"low nasal bridge, hearing loss, hepatosplenomegaly, joint stiffness, child, congestion, spinal compression, fragile x syndrome"
colles' fracture,"swelling, bruising around the wrist, numbness in hand, pain on thumb movement"
orbital myositis,"persistent pain, inflammation, headache, visual impairment"
premature ovarian failure (pof),"amenorrhea, female, frequent dreaming, tension, joint pain"
pancreatic body cancer,"abdominal pain, loss of appetite, unexplained weight loss, nausea"
phaeohyphomycosis,"corneal mycosis, photophobia, blurry vision, redness around the cornea, eye swelling"
rodent mite bites,"papules, itching, irritability, skin redness, mild fever"
capillary hemangioma,"bright red nevus, child, light sensitivity, mild discomfort in the area, slight itchiness"
cranial cleft,"absence of cranial bones, newborn, soft spot on baby's head larger than usual, abnormal facial appearance, difficulty with feeding"
pediatric stomatitis,"loss of appetite, child, fever, irritability, drooling"
cervical cystic hygroma,"larger cysts can restrict head and neck movement, edges often indistinct, child, hoarseness, weight loss, anxiety about the mass"
necrotizing vasculitis,"fever, joint and muscle pain, night sweats, loss of appetite"
vertebrobasilar insufficiency (vbi),"dizziness, unsteady gait, numbness in extremities, slurred speech, weakness on one side of the body"
ischemic hypoxic encephalopathy,"convulsions, sluggish response, acute respiratory distress syndrome, greyish cheeks, cyanosis, hypoxemia, hypercapnia"
vitritis,"vitreous opacification, floaters, photopsia, eye pain"
thoracic and lumbar burst fractures,"symptoms of spinal cord injury, reluctance to move the body, increased reflex activities, difficulty breathing, partial paralysis"
nasal disease,"nasal congestion, sneezing, fatigue, mild headache"
homocystinuria,"scoliosis, osteoporosis, fatigue, difficulty walking, megaloblastic anemia"
external hernia,"constipation, straining to urinate, ascites, history of hernia incarceration"
cardio-auditory syndrome,"vertigo, sweating, pallor, general malaise"
blepharospasm-oromandibular dystonia,"blepharospasm, trismus, obsessive-compulsive personality, depression"
oral herpes simplex,"ulcers, herpes labialis, oral mucosal ulcers, vesicles on lips, fever, tingling or pain before the appearance of blisters, gingivitis"
cystic hygroma,"size varies of mass on the cheeks, soft and compressible, child, facial asymmetry, mild pain on palpation"
vitamin c deficiency,"fatigue, depressive mood, anorexia, mild anemia"
platelet coagulation dysfunction,"heavy menstrual bleeding, uncontrollable bleeding after tooth extraction, frequent nosebleeds, blood in urine, joint pains"
umbilical polyp,"presence of cherry-red polypoid mass in the navel cavity, child, discharge from the navel, occasional bleeding, irritability"
mucin-producing papillary adenocarcinoma,"nipple discharge, nipple enlargement, breast asymmetry, skin dimpling, aching pain"
inguinal hernia,"reducible swelling in the groin area, pain during urination, urgency, frequency, discomfort and pain that increases on standing, a sense of pressure in the groin, nausea"
dyshidrosis,"grouped vesicles deep in the epidermis, mucinous fluid release, dryness of palms, thickening of skin, burning sensations, itching worsening at night, desquamation"
syphilis,"syphilis infection, frequent urination with urgency and pain, syphilitic hepatitis, syphilitic alopecia, headache, loss of appetite, weight loss"
langerhans cell histiocytosis (lch),"maculopapular rash, wheezing, diarrhea, polyuria, polydipsia, low-grade fever, dry cough"
crescentic glomerulonephritis,"hematuria, fatigue, pallor, loss of appetite"
anal fistula,"discharge of pus, mild fever, fatigue, perianal discomfort"
colorectal cancer,"intestinal bleeding, black stools with blood, right flank pain, anemia, sensation of defecation"
central retinal vein occlusion (crvo),"visual impairment, exudation, gradual vision loss, distorted vision, photopsia"
gluteal folliculitis,"itching, red skin, sensitive skin, slight pain on pressure"
pediatric carbon monoxide poisoning,"headache, child, fatigue, restlessness, somnolence"
pure red cell aplasia,"progressive severe anemia, fatigue, weakness, pallor"
alagille syndrome,"pulmonary artery stenosis, spinal bifida, child, chronic itching, jaundice, characteristic facial features"
cervical fracture,"neck pain, restricted movement, neck muscle spasm, widespread tenderness in the neck, ringing in the ears, mood swings, difficulty concentrating"
pediatric dialysis disequilibrium syndrome,"headache, nausea, child, restlessness, blurred vision"
delusional disorder,"mania, irritability, rapid speech, inflated self-esteem, impulsivity"
congenital muscular torticollis,"abnormal body posture, infant, headache, neck pain, facial asymmetry"
ulcerative colitis arthritis,"persistent abdominal pain, pain in the chest, palpable mass, limited movement of the neck"
glossopharyngeal nerve injury,"decreased taste sensitivity, taste disturbance, minor pharyngeal muscle motor impairment, mild hoarseness"
sprouted potato poisoning,"nausea, vomiting, dehydration, throat dryness"
vulvovaginitis in young girls,"itching of the vulva, burning discomfort of the vulva, child, scratching of the vulva, crying"
subdural hematoma,"impaired consciousness, headache, nausea and vomiting, hemiparesis, confusion, drowsiness, memory disorders"
leprosy,"numb patches on skin, muscle weakness, light sensitivity, eye problems"
iridocorneal endothelial syndrome,"blurred vision in one eye, photophobia, decreased corneal sensitivity, irregular pupil"
pemphigus vegetans,"thin-walled blisters, mild fever, itching around the blisters, fatigue"
oral floor carcinoma,"oral pain, ulcers, white, harder nodules on the oral mucosa, difficulty moving the jaw, hoarseness, unexplained weight loss, difficulty breathing"
vulvar melanosis,"moles, female, mild discomfort, darkening of the affected area, slight itching"
male genital organ infection,"frequent urination, urgent urination, cloudy urine, pelvic pain"
renal carbuncle,"redness, swelling, pain in the kidney area, abdominal distension, high fever, confusion, increased heart rate"
paralytic brachial plexus neuritis,"muscle atrophy, pain in the shoulder girdle muscles, loss of sensation in the affected arm, difficulty in performing daily tasks, aching pain at night"
genu varum (bow legs),"knees inverted, child, mild knee pain, difficulty running, waddling gait"
exogenous photodermatitis,"burning sensation in the skin, pain in the skin, papules, eczematous lesions, swelling, fever, fatigue"
encephalocele and meningocele,"pelvic meningocele, dural ectasia, spinal and limb deformities, pigment abnormalities, chronic headaches, back pain, difficulty with coordination"
abdominal distension pain,"sudden protrusion of the abdomen, colic pain, intolerable intermittent severe pain, pale face, nausea, vomiting, borborygmus"
skin ulcer,"foul odor, skin defect, feeling unwell, loss of function in the affected area"
osteolymphangioma,"severe pain in the affected area, percussion pain, limited mobility, diffuse edema, anxiety, loss of appetite, insomnia"
herpes labialis,"itching, headache, sore throat, muscle aches"
mandibular cancer,"rapid growth of the mass, numbness in the lower lip, swelling in the neck, fatigue"
acquired retinal macroaneurysm,"retinal hemorrhage, retinal edema, elderly, distorted vision (metamorphopsia), decrease in peripheral vision, pressure sensation in the eye"
anal fissure,"severe anal pain, defecation disorder, short episodes of dull pain in the anal area, rectal bleeding"
tongue cancer,"glossitis, tongue pain, mouth numbness, change in taste sensation"
orbital cavernous hemangioma,"vision impairment, ocular motility disorder, nausea, blurred vision, swelling around the eye"
lobar pneumonia,"high fever with chills, coughing up rust-colored sputum, chest pain, rapid breathing, cyanosis, restlessness, delirium"
fallopian tube malformation,"infertility, ectopic pregnancy, abnormal vaginal discharge, delayed menstruation, lower back pain"
anhydrosis,"absence of tears, reduced tearing, difficulty sweating, dry mouth, dry skin, dizziness, fatigue"
cardiac penetrating injury,"hypotension, restlessness, cold sweat, thready and rapid pulse"
breast hamartoma,"presence of a mass in the breast, the tumor is round or oval, encapsulated, grows slowly, mild breast pain, local temperature increase, skin color changes"
hypothermia in the elderly,"delirium, hallucinations, elderly, chills, pallor"
infectious acute toxic encephalopathy,"high fever, slight headache, mild confusion, fatigue"
yin deficiency fever,"night sweats, warm palms and soles, fine, rapid pulse, red tongue with little coating"
gonococcal arthritis,"fever, painful swollen joints, joint swelling, high fever with chills, rash, difficulty moving the affected joint, decreased appetite"
autosomal recessive hereditary cerebral arteriopathy with subcortical infarcts and leukoencephalopathy,"headache, dizziness, palpitations, shortness of breath, slow cognitive decline, gait disturbances, urinary incontinence"
gallbladder cancer in elderly,"itching skin, jaundice, right upper quadrant pain, indigestion"
pigmented purpuric lichenoid dermatitis,"generalized erythematous patches, capillary dilation, minor scales, mild itching"
enterobiasis vaginitis,"intense itching around the anus, increased vaginal discharge, child, skin irritation, pain during urination"
unicameral bone cyst,"bone cyst, occult pain, limb shortening deformity, developmental deformity, child, visible swelling, bruising around the affected area, reduced muscle mass around the affected limb, mild fever"
lymphocytic choroid plexitis,"restless sleep, fatigue, muscle weakness, decreased concentration"
superior vena cava syndrome in the elderly,"chest wall venous distention, distended neck veins, elderly, difficulty breathing, cyanosis"
acute respiratory failure,"dyspnea, cyanosis, coma, upper gastrointestinal bleeding"
epidemic jaundice,"mental confusion, facial and skin jaundice, abdominal pain, swollen legs, weakness"
ovarian cyst torsion,"shock, rapid heartbeat, cold, clammy skin, lightheadedness"
arachnoiditis,"vomiting, papilledema, tinnitus, difficulty walking, memory issues"
otitis externa,"ear pain, purulent discharge, muffled hearing, odor coming from the ear"
ocular hypertension,"eye fatigue, blurred vision, loss of peripheral vision, dry eye, slight headache"
esophageal intramural diverticulum,"pharyngeal burning, dysphagia, difficulty belching, globus sensation"
tinea imbricata,"scaling, itching, athlete's foot, rash, inflammation, thickened skin, foul smell"
megaloblastic anemia,"pallor, fatigue, dizziness, palpitations, decreased endurance, anorexia, diarrhea"
appendiceal cancer,"abdominal pain, constipation, diarrhea, nausea, unexplained weight loss, change in stool caliber, night sweats"
lupus miliaris disseminatus faciei (lmdf),"nodules, pustules, scar atrophic depressions, persistent erythema, severe itching, loss of appetite, mild facial pain"
pediatric lupus nephritis,"joint pain, child, female, fatigue, low-grade fever, loss of appetite"
friedreich's ataxia,"swaying to the sides, vision impairment, muscle weakness, difficulty swallowing"
vegetative state,"coma, loss of consciousness, infrequent voluntary movements, grimacing to painful stimuli, non-purposeful movement"
congenital intestinal atresia,"abdominal distension, vomiting, newborn, abdominal tenderness, failure to thrive"
vulvar metastatic cancer,"nodules, vulvar pain, frequent urination, painful urination, female, mood changes, pain during intercourse, difficulty walking"
primary small vessel vasculitic kidney injury,"hematuria, proteinuria, acute renal failure, erythema multiforme-like rash, hypersensitivity vasculitis, small vessel fibroid necrosis, asymmetric arthralgia"
post-gastrectomy internal hernia,"abdominal distension, hiccups, belching, difficulty breathing"
pediatric secretory otitis media,"decreased hearing, ear pain, tinnitus, ear fullness, child, fatigue, difficulty concentrating, mild fever"
cervical trauma,"pain, hemorrhage, blurred vision, nausea"
tethered cord syndrome,"local hypertrichosis, midline lumbosacral hemangiomas, presence of small depressions in the lumbosacral skin, urinary urgency"
a-v syndrome,"a-exotropia, squinting, eye strain, difficulty reading"
encopresis in children,"defecation disorders, abnormal defecation frequency, child, leakage of stool, emotional distress, holding in stools"
hemorrhagic shock,"pallor, anxiety, rapid breathing, thirst"
pityriasis rubra pilaris,"orange-red scaling patches, nail abnormalities, joint stiffness, thickened skin on palms and soles"
anterior interosseous nerve syndrome,"muscle atrophy, weakness, numbness in the forearm, decreased grip strength, mild pain"
anaerobic pneumonia,"hemoptysis, purulent lung infection, headache, nausea"
xanthogranulomatous pyelonephritis,"complicated urinary tract infection, fatigue, weight loss, anorexia"
testicular tumor,"testicular pain, a sensation of unusual firmness, enlargement of the affected testis, a significant increase in the size of a testicle"
karoshi (overwork death),"insomnia, headache, low-grade fever, dry throat"
foreign body injury,"sensation of a foreign body in the eye, mild eye discharge, slight blurring of vision, increased blinking"
dry-evil invading the lung,"chest pain during coughing, little to no phlegm, blood-tinged sputum, sore throat, dry lips without thirst, dry nasal passages and throat"
childhood separation anxiety disorder,"poor sleep, child, nightmares, separation distress from parents at night, excessive worry about losing parents"
postpericardiotomy syndrome,"postoperative fever, fatigue, chest pain, pericardial effusion, anxiety, difficulty breathing, swelling in the legs"
esophageal cancer in the elderly,"weight loss, elderly, indigestion, vomiting, anemia"
tinea barbae,"pain, hair loss, scaly skin, pus"
systemic lupus erythematosus scleritis,"eye pain, nystagmus, hematuria, conjunctival edema"
anthrax of the eyelid,"inflammation, enlarged lymph nodes, fatigue, nervousness"
mammary duct fistula,"nipple bleeding, nipple discharge, localized swelling, sensation of lump underneath the skin"
choroidal rupture,"decreased vision, eye pain, sensitivity to light, headache"
acute dacryoadenitis,"conjunctival congestion, edema, viscous secretions, eyelid tenderness, headache, malaise, sensitivity to light"
sepsis in the elderly,"high fever, elderly, nausea, rapid breathing, decreased urination"
impetigo,"itching, child, fever, swollen lymph nodes, fatigue"
congenital ureteropelvic junction obstruction in children,"abdominal pain, child, fever, lethargy, poor weight gain"
menopausal insomnia,"insomnia, depression, dizziness, fatigue, female, mental disturbances, poor appetite"
budd-chiari syndrome,"ascites, pain in the liver region, mild jaundice, fatigue"
hearing impairment,"tinnitus, hearing loss, ringing, buzzing, or hissing sounds in the ears, trouble hearing consonants, misunderstanding what people say"
cerebral hemorrhage in the elderly,"dizziness, headache, impaired limb mobility, elderly, seizures, loss of consciousness, memory loss"
malaria nephropathy,"proteinuria, liver enlargement, ascites, hematuria"
cutaneous anthrax,"blood blister, edema, high fever, vomiting"
hyperemesis gravidarum,"nausea, vomiting, dry mouth, lightheadedness, rapid heart rate"
cosmetic surgery,"distorted body image, chronic dissatisfaction with surgeries, obsessive pursuit of perfection, mood swings, social isolation, financial strain, relationship problems"
cold panniculitis,"erythema, skin sensitivity, chills, headache"
systemic pyogenic infection,"accelerated pulse, severe condition, anemia, loss of appetite, headache"
microtia,"atresia of the external auditory canal, child, delayed language development, social withdrawal, increased sensitivity to loud noises"
hyperimmunoglobulin e syndrome,"atopic dermatitis, recurrent skin infections, elevated ige levels, pneumonia"
acute hemorrhagic anemia,"dizziness, bradycardia, hypotension, sweating"
esophagitis,"pain in swallowing, heartburn, bleeding, anemia, weight loss, choking, vomiting blood"
panuveitis,"eye pain, floating spots in vision, loss of peripheral vision, sensitivity to light"
metatarsal osteochondrosis,"joint pain, foot pain, swelling, difficulty walking, numbness in the foot, sharp or shooting pain, nighttime symptoms"
spinal muscular atrophy,"muscle weakness, muscle stiffness, numbness in muscle tissue, child, impaired speech development, recurrent respiratory infections, difficulty standing up, fatigue"
chronic diarrhea,"diarrhea, viral diarrhea, abdominal mass, physiological diarrhea"
left atrial rhythm,"palpitations, fatigue, shortness of breath, anxiety"
congenital rectal anomalies,"absence of the anus, abdominal distension, vomiting, difficulty in defecation, newborn, perineal fistula, infection, skin irritation around the anus"
hypersplenism,"splenomegaly, pallor, anemia, dizziness, headache, abdominal bloating, postprandial fullness"
xinjiang hemorrhagic fever,"high fever, back pain, headache, thirst"
genital candidiasis,"vaginal itching, increased discharge resembling cottage cheese, soreness, painful intercourse"
upper cervical instability,"neck stiffness, pain in the occipitocervical region, dizziness, unstable gait, feeling of walking on cotton, numbness in the limbs, limited mobility"
retrocalcaneal bursitis,"pain at the back and upper part of the heel, difficulty walking, increased pain with activity, pain when standing on tiptoes"
staphylococcal food poisoning,"nausea and vomiting, prostration, chills, excessive sweating"
primary central nervous system lymphoma,"dizziness, epilepsy and epileptiform seizures, sensory disturbances, forgetfulness"
ameloblastoma of the jaw,"jaw swelling, facial deformity, change in voice, difficulty swallowing"
radiation pericarditis,"precordial dull pain, anorexia, malaise, fever, signs of cardiac tamponade, pericardial inflammation"
alzheimer's disease (senile dementia),"memory decline, apathetic expression, urinary incontinence, paranoia, difficulty planning or solving problems, withdrawal from social activities, changes in personality and behavior"
ocular surface disease,"eye redness, photophobia, watery discharge, sensitivity to light, feeling of foreign body in the eye"
pilonidal disease,"rash, pain when sitting, skin redness, swelling near tailbone"
acute mumps orchitis,"scrotal swelling, male, child, adolescent, mild fever, muscle ache, fatigue"
posttraumatic psychiatric disorders,"emotional instability, dizziness, nausea or vomiting, memory impairment"
craniofacial fibrous dysplasia,"local asymmetrical protrusions of the skull, nasal congestion, hearing loss, facial pain"
congenital lens abnormalities,"decreased visual acuity, difficulty reading, photophobia, frequent eye rubbing"
pseudomonas aeruginosa infection,"viscous secretions with a sweet and rotten smell on burn wounds, papules, lymph fluid exudation, chills, fatigue, localized pain, increased heart rate"
urethral trauma,"clear history of trauma, pelvic fractures, bruising around the genital area, lower back pain, difficulty walking"
ductal ectasia of the breast,"redness, slight burning sensation in breast, localized breast lump, occasional clear nipple discharge"
conductive hearing loss in children,"reduced hearing, visible discomfort in ears, child, lack of attention, falling behind in school, sitting closer to the tv"
acute corrosive gastritis,"painful swallowing, dysphagia, gastric mucosal edema, chronic gastric bleeding"
pediatric adenoviral pneumonia,"dyspnea, cyanosis, child, pediatric fever, recurrent right lung infection"
autosensitization dermatitis,"burning sensation, skin dryness, redness around the affected area, swelling"
acute coronary syndrome (acs),"chest pain, nausea, fatigue, dizziness"
carotid-cavernous fistula (ccf),"pulsating exophthalmos, tremor, decreased vision, conjunctival edema, swelling around the eye, red eye, nausea"
endometrial cancer,"postmenopausal bleeding, menstrual disorder, nausea, lack of appetite"
hepatic encephalopathy in the elderly,"convulsions, elderly, lack of concentration, sleep disturbance, hallucinations"
gastric stuffiness,"a sensation of a lump in the upper abdomen, occasional upper abdominal pain, mild flatulence, sporadic nausea, feeling full after eating small amounts"
oral tuberculous ulcer,"ulcers posterior to the molars, pain, night sweats, fatigue, difficulty swallowing"
pediatric atrial fibrillation,"dizziness, syncope, child, faint heart sounds, pulse deficit"
salivary gland tumor,"mass, localized pain, hearing loss, earache, headache"
